2003					5:20	5:25	5:28	5:33	5:38	5:45	5:47	5:51	5:56	6:04	6:15	6:20	6:29	6:40	6:47	6:55	7:02	7:10	7:15	7:21	7:33	7:50	
2005	5:45	5:47	5:50	5:52	5:56	6:02	6:06	6:10	6:16	6:23	6:25	6:29	6:34	6:42	6:56	7:01	7:07	7:17	7:23	7:30	7:36	7:44	7:49	7:54			
2009									7:01	7:08	7:10	7:14	7:19	7:27	7:37	7:42	7:48	7:58	8:04	8:11	8:17	8:25	8:31	8:37	8:49	9:06	
2011	6:56	6:58	7:01	7:03	7:07	7:13	7:17	7:21	7:27	7:34	7:36	7:40	7:45	7:53	8:02												
2013	7:20	7:22	7:25	7:27	7:31	7:37	7:41	7:45	7:51	7:58	8:00	8:04	8:09	8:17	8:27	8:32	8:38	8:48	8:54	9:01	9:07	9:15	9:21	9:26	9:39	9:56	
2017	7:48	7:50	7:53	7:55	7:59	8:05	8:09	8:14	8:20	8:27	8:29	8:33	8:38	8:46	8:55												
2019									8:43	8:50	8:52	8:56	9:01	9:09	9:19	9:24	9:30	9:40	9:46	9:53	9:59	10:07	10:12	10:18	10:31	10:47	
2025									9:37	9:44	9:46	9:50	9:55	10:03	10:13	10:18	10:24	10:34	10:40	10:47	10:53	11:01	11:06	11:12	11:25	11:41	
2029									10:20	10:27	10:29	10:33	10:38	10:46	10:56	11:01	11:07	11:17	11:23	11:30	11:36	11:44	11:49	11:55	12:08	12:24	
2031	10:17	10:19	10:22	10:24	10:28	10:34	10:38	10:43	10:49	10:56	10:58	11:02	11:07	11:15	11:24												
2033	10:42	10:44	10:47	10:49	10:53	10:59	11:03	11:07	11:14	11:21	11:23	11:27	11:32	11:40	11:50	11:55	12:01	12:11	12:17	12:24	12:30	12:38	12:43	12:49	13:02	13:18	
2041	11:33	11:35	11:38	11:40	11:44	11:50	11:54	11:58	12:04	12:11	12:13	12:17	12:22	12:30	12:40	12:45	12:51	13:01	13:07	13:14	13:20	13:28	13:33	13:39	13:52	14:08	
2047									12:54	13:01	13:03	13:07	13:12	13:20	13:30	13:35	13:41	13:51	13:57	14:04	14:10	14:18	14:23	14:28			
2049	12:47	12:49	12:52	12:54	12:58	13:04	13:08	13:13	13:19	13:26	13:28	13:32	13:37	13:45	13:55	14:00	14:06	14:16	14:22	14:29	14:35	14:43	14:48	14:53	15:06	15:23	
