2002			5:25	5:30	5:36	5:44	5:50	5:56	6:02	6:12	6:17	6:21	6:31	6:38	6:44	6:48	6:51	6:56	7:07	7:13	7:16	7:25	7:32	7:34	7:38	7:41
2004	5:13	5:30	5:42	5:48	5:54	6:01	6:07	6:13	6:19	6:29	6:34	6:38	6:48	6:56	7:02	7:06	7:09	7:13								
2006			6:00	6:05	6:11	6:19	6:25	6:31	6:37	6:47	6:52	6:56	7:06	7:13	7:19	7:23	7:26	7:30								
2008	5:54	6:11	6:23	6:29	6:35	6:42	6:48	6:54	7:00	7:10	7:15	7:19	7:29	7:36	7:42	7:46	7:49	7:54	7:59	8:05	8:08	8:17	8:24	8:26	8:30	8:33
2602					6:55			7:12										7:59	8:04	8:09	8:13	8:21				
2010			6:45	6:50	6:56	7:04	7:10	7:16	7:22	7:32	7:37	7:41	7:51	7:58	8:04	8:08	8:11	8:15								
2012			7:06	7:11	7:17	7:25	7:31	7:37	7:43	7:53	7:58	8:02	8:12	8:19	8:25	8:29	8:32	8:38	8:46	8:52	8:55	9:04	9:10	9:13	9:16	9:19
2014	7:00	7:17	7:29	7:35	7:41	7:48	7:54	8:00	8:06	8:16	8:21	8:25	8:35	8:43	8:49	8:53	8:56	8:59								
2016			7:50	7:55	8:01	8:09	8:15	8:21	8:27	8:37	8:42	8:46	8:56	9:03	9:09	9:13	9:16	9:20								
2018			8:10	8:15	8:21	8:29	8:35	8:41	8:47	8:57	9:02	9:06	9:16	9:23	9:29	9:33	9:36	9:42	9:48	9:54	9:57	10:06	10:12	10:15	10:18	10:21
2020	8:07	8:24	8:36	8:42	8:48	8:55	9:01	9:07	9:13	9:23	9:28	9:32	9:42	9:50	9:56	10:00	10:03	10:06								
2022			9:05	9:10	9:16	9:24	9:30	9:36	9:42	9:52	9:57	10:01	10:11	10:18	10:24	10:28	10:31	10:35								
2024	9:00	9:17	9:29	9:35	9:41	9:48	9:54	10:00	10:06	10:16	10:21	10:25	10:35	10:43	10:49	10:53	10:56	11:03	11:09	11:15	11:18	11:27	11:34	11:36	11:40	11:43
2026			9:55	10:00	10:06	10:14	10:20	10:26	10:32	10:42	10:47	10:51	11:01	11:08	11:14	11:18	11:21	11:25								
2030			10:25	10:30	10:36	10:44	10:50	10:56	11:02	11:12	11:17	11:21	11:31	11:38	11:44	11:48	11:51	11:57	12:03	12:09	12:12	12:21	12:27	12:30	12:33	12:36
